gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
16,1000,0.20822222222222242,0.427,0.14825,0.573,0.6895714285714283,0.573,0.24590784181613073,0.49464229499710655,0.20269296361738492,0.49464229499710655,0.42182961547263553,0.49464229499710655,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
17,1000,0.2733333333333344,0.566,0.1905,0.434,0.5867142857142856,0.434,0.24591476993884456,0.4956248581336505,0.20966580550962607,0.4956248581336505,0.440258527945315,0.4956248581336505,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
18,1000,0.36266666666666936,0.758,0.2475,0.242,0.444714285714286,0.242,0.2150596816389963,0.42829429134649927,0.20277758751893624,0.42829429134649927,0.42709820597963144,0.42829429134649927,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
19,1000,0.47877777777777936,1.0,0.32725,0.0,0.2575714285714292,0.0,0.0736624768374448,0.0,0.16574057288425273,0.0,0.32217978882377246,0.0,0.3333333333333333,1.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,1.0,-0.0
20,1000,0.4780000000000014,1.0,0.3255,0.0,0.10228571428571451,0.0,0.07443582039599385,0.0,0.16748059589098727,0.0,0.1629663794048533,0.0,0.3333333333333333,1.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.5714285714285714,-0.0
21,1000,0.4771111111111131,1.0,0.3235,0.0,0.026285714285714232,0.0,0.07316175213394437,0.0,0.1646139423013732,0.0,0.056450086314354,0.0,0.3333333333333333,1.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.2857142857142857,-0.0
22,1000,0.4990000000000034,1.0,0.37275,0.0,0.017428571428571404,0.0,0.05554655482643785,0.0,0.12497974835948496,0.0,0.04675511540277201,0.0,0.4444444444444444,1.0,0.25,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.14285714285714285,-0.0
23,1000,0.5080000000000015,1.0,0.393,0.0,0.014571428571428556,0.0,0.05497653820573327,0.0,0.12369721096289836,0.0,0.043235472964326095,0.0,0.4444444444444444,1.0,0.25,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.14285714285714285,-0.0
24,1000,0.5166666666666662,1.0,0.4125,0.0,0.011571428571428568,0.0,0.05299662230094162,0.0,0.11924240017711918,0.0,0.038976445006004876,0.0,0.4444444444444444,1.0,0.25,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.14285714285714285,-0.0
25,1000,0.526777777777775,1.0,0.43525,0.0,0.006857142857142863,0.0,0.0486761786746903,0.0,0.1095214020180534,0.0,0.03053803249345695,0.0,0.4444444444444444,1.0,0.25,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.14285714285714285,-0.0
26,1000,0.538444444444439,1.0,0.4615,0.0,0.004285714285714285,0.0,0.040105416647186774,0.0,0.09023718745617022,0.0,0.024369603013188582,0.0,0.4444444444444444,1.0,0.25,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.14285714285714285,-0.0
27,1000,0.5495555555555476,1.0,0.4865,0.0,0.001571428571428571,0.0,0.025113077602449838,0.0,0.056504424605512076,0.0,0.014900349263130226,0.0,0.4444444444444444,1.0,0.25,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,0.14285714285714285,-0.0
28,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
29,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
30,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
31,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
32,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
33,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
34,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
35,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
36,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
37,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
38,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
39,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
40,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
41,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
42,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
43,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
44,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
45,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
46,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
47,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
48,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
49,1000,0.5555555555555463,1.0,0.5,0.0,0.0,0.0,9.325873406851315e-15,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,-0.0,-0.0,-0.0
