gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
10,1000,0.03308888888888889,0.153,0.10066666666666665,0.9013,0.9654285714285713,0.847,0.08747922692864092,0.35998749978297884,0.24995466255569318,0.2344612121439252,0.1550138900952099,0.35998749978297884,0.0,0.0,0.0,0.15,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
11,1000,0.03877037037037038,0.185,0.11949999999999998,0.880475,0.9572857142857142,0.815,0.09203066346513458,0.3882975663070733,0.2656705875913067,0.2534056024933146,0.1716426639318789,0.3882975663070733,0.0,0.0,0.0,0.15,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
12,1000,0.04662222222222224,0.225,0.14383333333333323,0.85385,0.9467142857142856,0.775,0.09861136365817018,0.41758232721224786,0.2837365268460662,0.2745636128477372,0.19005214107325594,0.41758232721224786,0.0,0.0,0.0,0.1,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
13,1000,0.05570370370370371,0.275,0.1735000000000001,0.8205500000000001,0.9321428571428572,0.725,0.10443383187480366,0.44651427748729594,0.3018148346990974,0.2950215204014742,0.21425595031385952,0.44651427748729594,0.0,0.0,0.0,0.1,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
14,1000,0.07039259259259253,0.355,0.21900000000000008,0.767625,0.9077142857142857,0.645,0.11216928001896305,0.4785133226985422,0.31986993884667897,0.3175570568811197,0.24959902537747444,0.4785133226985422,0.0,0.0,0.0,0.075,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
15,1000,0.0862814814814816,0.445,0.27216666666666695,0.7086249999999998,0.8747142857142857,0.555,0.11668256117477342,0.496965793591471,0.3343447571993148,0.33061871449601643,0.2849944861621994,0.496965793591471,0.0,0.0,0.0,0.05,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
16,1000,0.10768888888888907,0.56,0.33499999999999996,0.631525,0.8347142857142857,0.44,0.1216454530240517,0.49638694583963716,0.3358198922041366,0.33315619366146887,0.31868194751737333,0.4963869458396383,0.0,0.0,0.0,0.05,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
17,1000,0.13174074074074116,0.702,0.4125,0.5367000000000003,0.7895714285714285,0.298,0.11957188722267408,0.45737949232557745,0.32073591594609224,0.3106937559720171,0.3484446783602073,0.45737949232557745,0.0,0.0,0.0,0.05,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
18,1000,0.16757037037037087,0.907,0.5265000000000004,0.39985000000000065,0.7300000000000005,0.093,0.10711918313931232,0.29043243620504916,0.2608596365864227,0.21016357319954398,0.37098600006590454,0.29043243620504916,0.0,0.0,0.0,0.05,-0.0,-0.0,0.5777777777777777,1.0,1.0,1.0,1.0,1.0
19,1000,0.18865185185185246,1.0,0.5606666666666673,0.3295750000000009,0.6528571428571427,0.0,0.10077803666919259,0.0,0.2141847592876537,0.09280190932841885,0.3904236317705386,0.0,0.022222222222222223,1.0,0.0,0.025,-0.0,-0.0,0.5777777777777777,1.0,1.0,0.6,1.0,-0.0
