gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
10,1000,0.07461728395061726,0.175,0.175,0.825,0.9705714285714284,0.825,0.17879683238310443,0.3799671038392578,0.3799671038392578,0.3799671038392578,0.11043180553386527,0.3799671038392578,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
11,1000,0.09513580246913575,0.224,0.224,0.776,0.9618571428571427,0.776,0.19672503996798366,0.4169220550654459,0.4169220550654459,0.4169220550654459,0.12352897701861619,0.4169220550654459,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
12,1000,0.11480246913580242,0.275,0.275,0.725,0.9512857142857144,0.725,0.20979431904223206,0.44651427748729594,0.44651427748729594,0.44651427748729594,0.1419053291775227,0.44651427748729594,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
13,1000,0.1408765432098765,0.341,0.341,0.659,0.9368571428571433,0.659,0.22369609960367817,0.47404535647972623,0.47404535647972623,0.47404535647972623,0.1598874604213881,0.47404535647972623,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
14,1000,0.17385185185185187,0.42,0.42,0.58,0.9197142857142863,0.58,0.23654826021052697,0.4935585071701225,0.4935585071701225,0.4935585071701225,0.1791223501591313,0.4935585071701225,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
15,1000,0.22040740740740744,0.525,0.525,0.475,0.898571428571429,0.475,0.2479113762005033,0.4993746088859493,0.4993746088859493,0.4993746088859493,0.19165764545466207,0.4993746088859493,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
16,1000,0.28370370370370385,0.675,0.675,0.325,0.8654285714285721,0.325,0.24845064788052368,0.4683748498798804,0.4683748498798804,0.4683748498798804,0.2113434191460086,0.4683748498798804,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
17,1000,0.3617530864197538,0.867,0.867,0.133,0.816857142857141,0.133,0.2214984083158404,0.3395747340424492,0.3395747340424492,0.3395747340424492,0.23116722456759844,0.3395747340424492,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
18,1000,0.4445679012345686,1.0,1.0,0.0,0.7579999999999959,0.0,0.17247487993828028,0.0,0.0,0.0,0.24228352424886263,0.0,0.037037037037037035,1.0,1.0,-0.0,-0.0,-0.0,0.8024691358024691,1.0,1.0,-0.0,1.0,-0.0
19,1000,0.4961728395061724,1.0,1.0,0.0,0.7245714285714274,0.0,0.15347814278905153,0.0,0.0,0.0,0.25478346148228975,0.0,0.037037037037037035,1.0,1.0,-0.0,-0.0,-0.0,0.8024691358024691,1.0,1.0,-0.0,1.0,-0.0
