,ciclos,clave,nombre,creditos,tipo,plan,preespecialidad
636,3,ID0308,Análisis de grandes volúmenes de datos,8,Basica,IDP2016,
637,3,ID0309,Aprendizaje estadístico,6,Basica,IDP2016,
638,3,IT0263,Electrónica analógica,6,Basica,IDP2016,
639,3,IT0208,Electrónica digital,8,Basica,IDP2016,
640,3,ID0307,Ingeniería de software,6,Basica,IDP2016,
641,3,IT0425,Introducción a la inteligencia artificial,6,Basica,IDP2016,
642,3,ID0310,Minería de datos,8,Basica,IDP2016,
643,3,PID0302,Prácticas profesionales II,10,Basica,IDP2016,
644,3,DP0498,Problemas de México,6,Basica,IDP2016,
645,3,DP0497,Problemas del mundo contemporáneo,6,Basica,IDP2016,
646,4,IT0423,Administración de proyectos de desarrollo de software,6,Basica,IDP2016,
647,4,ID0411,Cómputo de alto desempeño,8,Basica,IDP2016,
648,4,ID0412,Métodos de desarrollo de software,8,Basica,IDP2016,
649,4,PID0404,Prácticas Profesionales preespecialidad: Innovación en TIC,10,Basica,IDP2016,
650,4,PID0403,Prácticas profesionales preespecialidad: Inteligencia organizacional y de negocios,10,Basica,IDP2016,
651,4,ID0413,Procesamiento de datos en la nube,6,Basica,IDP2016,
652,4,IT0427,Proyecto terminal,6,Basica,IDP2016,
653,4,ID0414,Seguridad de datos,8,Basica,IDP2016,
654,4,DP0499,Seminario de investigación,6,Basica,IDP2016,
655,4,IT0322,Teoría de la información,6,Basica,IDP2016,
656,4,IT0317,Diseño de interfaces humano-máquina,6,Elección libre,IDP2016,
657,4,ID3466,Gobierno de datos y redes sociales,6,Elección libre,IDP2016,
658,4,ID3467,Graficación por computadora,6,Elección libre,IDP2016,
659,4,ID3468,Herramientas para la gestión de grandes volúmenes de datos,6,Elección libre,IDP2016,
660,4,ID3469,Internet de las cosas,6,Elección libre,IDP2016,
661,4,IL3422,Liderazgo y equipos de trabajo,6,Elección libre,IDP2016,
662,4,NI3431,Marketing en los negocios electrónicos,6,Elección libre,IDP2016,
663,4,II0423,Métodos numéricos por computadora,8,Elección libre,IDP2016,
664,4,NI0423,Planeación estratégica,6,Elección libre,IDP2016,
665,4,IT3472,Principios de automatización y robótica,6,Elección libre,IDP2016,
666,4,ID3470,Programación de aplicaciones de red,6,Elección libre,IDP2016,
667,4,ID3471,Realidad virtual,6,Elección libre,IDP2016,
668,4,ID3474,Sistemas de información geográfica,6,Elección libre,IDP2016,
669,4,IL0414,Taller de argumentación y técnicas de negociación,6,Elección libre,IDP2016,
670,4,II0422,Taller de emprendedores,6,Elección libre,IDP2016,
671,4,ID3472,Tópicos selectos en ingeniería de datos,6,Elección libre,IDP2016,
672,4,ID3473,Tópicos selectos en inteligencia organizacional,6,Elección libre,IDP2016,
673,4,ID3420,Analítica para la inteligencia de negocios,6,Preespecialidad,IDP2016,Inteligencia Organizacional y de negocios
674,4,ID3415,Cómputo ubicuo,6,Preespecialidad,IDP2016,Innovación en TIC
675,4,ID3417,Diseño de juegos,6,Preespecialidad,IDP2016,Innovación en TIC
676,3,ID3416,Diseño multimedia,6,Preespecialidad,IDP2016,Innovación en TIC
677,3,ID3421,Gestión del conocimiento,6,Preespecialidad,IDP2016,Inteligencia Organizacional y de negocios
678,3,ID3422,Negocios digitales,6,Preespecialidad,IDP2016,Inteligencia Organizacional y de negocios
