clave,tasaReprobacion,quintil,cuartil
IE3471,0.1016949152542373,4,3
GA3494,0.01694915254237288,1,1
ID0264,0.08280254777070063,3,3
IE0210,0.0,1,1
GA3491,0.04878048780487805,2,2
PIA0403,0.0,1,1
GA3492,0.08333333333333333,3,3
TS0319,0.0,1,1
IE3404,0.0,1,1
IE3431,0.0,1,1
PIL0403,0.16666666666666666,5,4
PIA0404,0.2,5,4
PIT0201,0.0,1,1
NI3473,0.06796116504854369,3,2
GA3496,0.0967741935483871,4,3
TA0031,0.04938271604938271,2,2
ID0205,0.2490118577075099,5,4
ID0263,0.15789473684210525,5,4
ID0308,0.05263157894736842,2,2
ID3418,0.02857142857142857,2,1
ID0309,0.19387755102040816,5,4
ID0204,0.05,2,2
ID0265,0.13452914798206278,4,4
ID0206,0.07142857142857142,3,3
ID3421,0.02247191011235955,1,1
GA3493,0.08571428571428572,3,3
PID0201,0.06666666666666667,3,2
II3481,0.1111111111111111,4,3
GA3405,0.0,1,1
GA3404,0.0,1,1
TS0107,0.12681159420289856,4,4
TS0106,0.03018867924528302,2,1
II0109,0.24031007751937986,5,4
II0165,0.11864406779661017,4,3
IA3417,0.0,1,1
IA3404,0.0,1,1
PID0302,0.05555555555555555,3,2
ID3416,0.09523809523809523,4,3
ID3470,0.0,1,1
ID0310,0.11875,4,3
IT0317,0.01818181818181818,1,1
PID0404,0.043478260869565216,2,2
ID0412,0.011111111111111112,1,1
ID3471,0.0,1,1
IT0322,0.023809523809523808,1,1
ID3417,0.07142857142857142,3,3
ID0413,0.022727272727272728,1,1
ID0411,0.10309278350515463,4,3
NI3405,0.0,1,1
NI3406,0.0,1,1
ID3466,0.009259259259259259,1,1
ID0307,0.0335195530726257,2,2
ID3469,0.0,1,1
ID3424,0.012658227848101266,1,1
ID3422,0.08108108108108109,3,3
TS0108,0.07920792079207921,3,3
LA1101,0.11320754716981132,4,3
TS0218,0.023529411764705882,1,1
TS0220,0.022727272727272728,1,1
GA0227,0.2463768115942029,5,4
GA0224,0.09836065573770492,4,3
II0220,0.17647058823529413,5,4
TS0168,0.04878048780487805,2,2
PN0202,0.3,5,4
TA0032,0.045454545454545456,2,2
IA0106,0.08163265306122448,3,3
IA0104,0.08163265306122448,3,3
PIE0202,0.0,1,1
PID0403,0.0,1,1
ID0414,0.03007518796992481,2,1
ID3474,0.07692307692307693,3,3
ID3423,0.1,4,3
ID3420,0.015151515151515152,1,1
IT3472,0.037037037037037035,2,2
ID3419,0.07407407407407407,3,3
IT0423,0.008695652173913044,1,1
ID3415,0.0625,3,2
ID3472,0.0,1,1
ID3468,0.0,1,1
TA0034,0.0,1,1
TA0035,0.0,1,1
